scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,15,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6042371846566874,70.6
h2_0.1,h2_sweep,15,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.5450313116524331,49.0
h2_0.1,h2_sweep,16,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8682956980324917,74.0
h2_0.1,h2_sweep,16,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8028993608419069,50.0
h2_0.1,h2_sweep,16,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.6909201268277412,74.0
h2_0.1,h2_sweep,16,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.5173741105958786,50.0
h2_0.1,h2_sweep,16,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8820617246193481,74.0
h2_0.1,h2_sweep,16,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8118013650660346,50.0
h2_0.1,h2_sweep,16,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5865871026432805,74.0
h2_0.1,h2_sweep,16,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.448570772704424,50.0
h2_0.1,h2_sweep,16,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8648793486196025,71.2
h2_0.1,h2_sweep,16,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7822396825272745,50.0
h2_0.1,h2_sweep,16,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6888391994521222,71.2
h2_0.1,h2_sweep,16,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.49766657566682965,50.0
h2_0.1,h2_sweep,16,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8762642083350793,71.2
h2_0.1,h2_sweep,16,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7861460584337847,50.0
h2_0.1,h2_sweep,16,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6202151645599786,71.2
h2_0.1,h2_sweep,16,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.45510882386727136,50.0
h2_0.1,h2_sweep,17,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8470947096288394,74.4
h2_0.1,h2_sweep,17,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7413913598179972,50.2
h2_0.1,h2_sweep,17,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.552281674962581,74.4
