scenario,group,rg,frac_shared_causal,pop,trait,phi_mode,seed,corr_prscsx,corr_prscsx_mt,delta
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,14,0.8616594872586059,0.7715980189074909,-0.09006146835111495
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,15,0.8715618791407703,0.7540510906388315,-0.11751078850193886
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,16,0.8648793486196025,0.7822396825272745,-0.08263966609232798
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,17,0.8486960201062859,0.7089163465785145,-0.13977967352777132
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,18,0.8598010770878763,0.7782713308948986,-0.0815297461929777
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,19,0.8581503904328138,0.7742866825699505,-0.08386370786286335
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,2,0.8645835276718835,0.7636221820356509,-0.1009613456362326
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,20,0.8854932377007569,0.7972987031654104,-0.08819453453534654
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,21,0.8542796977193069,0.7872924686574797,-0.06698722906182719
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,22,0.868115632494078,0.7718767309225912,-0.09623890157148673
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,23,0.8571369205942602,0.7342811265244009,-0.12285579406985925
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,24,0.858176847573343,0.7566108298553503,-0.10156601771799267
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,25,0.8594602793097078,0.7822426970077117,-0.07721758230199616
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,26,0.8422250970229443,0.7328716794405952,-0.10935341758234918
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,27,0.858731754233881,0.7660473415044184,-0.0926844127294626
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,28,0.8590175115902478,0.7654580913420231,-0.09355942024822461
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,29,0.8378362167875628,0.7281144019435138,-0.10972181484404897
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,3,0.8534945826063858,0.7250766262025278,-0.128417956403858
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,30,0.8773382575614489,0.7974306403868505,-0.07990761717459838
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,4,0.8497071561792928,0.7379366860379046,-0.11177047014138819
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,5,0.8469412526100287,0.7363536313985152,-0.11058762121151355
